Sticker Name,Quality,Qty,Cost/Unit (AUD),Total Cost (AUD),Current Price (AUD),Total Value (AUD),Profit/Loss (AUD),ROI %,Steam Market Link
910,Embroidered,2,0.35,0.70,0.04,0.08,-0.62,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20910%20(Embroidered)%20%7C%20Budapest%202025
910,Normal,14,0.35,4.90,0.03,0.42,-4.48,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20910%20%7C%20Budapest%202025
Aleksib,Embroidered,3,0.35,1.05,0.07,0.21,-0.84,-80.0%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Aleksib%20(Embroidered)%20%7C%20Budapest%202025
Aleksib,Normal,3,0.35,1.05,0.03,0.09,-0.96,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Aleksib%20%7C%20Budapest%202025
alex666,Embroidered,1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20alex666%20(Embroidered)%20%7C%20Budapest%202025
alex666,Holo,1,0.35,0.35,0.88,0.88,0.53,151.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20alex666%20(Holo)%20%7C%20Budapest%202025
alex666,Normal,5,0.35,1.75,0.03,0.15,-1.60,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20alex666%20%7C%20Budapest%202025
apEX,Embroidered,1,0.35,0.35,0.03,0.03,-0.32,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20apEX%20(Embroidered)%20%7C%20Budapest%202025
apEX,Embroidered (Champion),1,0.35,0.35,0.03,0.03,-0.32,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20apEX%20(Embroidered%2C%20Champion)%20%7C%20Budapest%202025
apEX,Holo (Champion),1,0.35,0.35,0.20,0.20,-0.15,-42.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20apEX%20(Holo%2C%20Champion)%20%7C%20Budapest%202025
apEX,Normal,4,0.35,1.40,0.03,0.12,-1.28,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20apEX%20%7C%20Budapest%202025
apEX,Normal (Champion),12,0.35,4.20,0.03,0.36,-3.84,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20apEX%20(Champion)%20%7C%20Budapest%202025
arT,Gold,1,0.35,0.35,7.37,7.37,7.02,2005.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20arT%20(Gold)%20%7C%20Budapest%202025
arT,Holo,1,0.35,0.35,1.73,1.73,1.38,394.3%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20arT%20(Holo)%20%7C%20Budapest%202025
arT,Normal,5,0.35,1.75,0.03,0.15,-1.60,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20arT%20%7C%20Budapest%202025
Astralis,Normal,4,0.35,1.40,0.03,0.12,-1.28,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Astralis%20%7C%20Budapest%202025
Attacker,Embroidered,1,0.35,0.35,0.08,0.08,-0.27,-77.1%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Attacker%20(Embroidered)%20%7C%20Budapest%202025
Attacker,Normal,3,0.35,1.05,0.03,0.09,-0.96,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Attacker%20%7C%20Budapest%202025
Aurora,Holo,1,0.35,0.35,5.07,5.07,4.72,1348.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Aurora%20(Holo)%20%7C%20Budapest%202025
Aurora,Normal,1,0.35,0.35,0.03,0.03,-0.32,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Aurora%20%7C%20Budapest%202025
AW,Embroidered,1,0.35,0.35,0.06,0.06,-0.29,-82.9%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20AW%20(Embroidered)%20%7C%20Budapest%202025
AW,Normal,11,0.35,3.85,0.03,0.33,-3.52,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20AW%20%7C%20Budapest%202025
b1t,Normal,6,0.35,2.10,0.03,0.18,-1.92,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20b1t%20%7C%20Budapest%202025
B8,Normal,4,0.35,1.40,0.03,0.12,-1.28,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20B8%20%7C%20Budapest%202025
Bart4k,Embroidered,1,0.35,0.35,0.05,0.05,-0.30,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Bart4k%20(Embroidered)%20%7C%20Budapest%202025
Bart4k,Normal,8,0.35,2.80,0.03,0.24,-2.56,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Bart4k%20%7C%20Budapest%202025
BELCHONOKK,Normal,6,0.35,2.10,0.05,0.30,-1.80,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20BELCHONOKK%20%7C%20Budapest%202025
biguzera,Embroidered,1,0.35,0.35,0.04,0.04,-0.31,-88.6%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20biguzera%20(Embroidered)%20%7C%20Budapest%202025
biguzera,Holo,1,0.35,0.35,0.37,0.37,0.02,5.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20biguzera%20(Holo)%20%7C%20Budapest%202025
biguzera,Normal,10,0.35,3.50,0.03,0.30,-3.20,-91.4%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20biguzera%20%7C%20Budapest%202025
blameF,Embroidered,2,0.35,0.70,0.05,0.10,-0.60,-85.7%,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20blameF%20(Embroidered)%20%7C%20Budapest%202025
